"frequency_Hz","amplitude"
20,3.58138734942281
22,2.72599797777831
24,2.03636843513373
26,1.25167856718263
28,1.96976406934911
30,4.74626670647833
32,4.7477787292327
34,1.8992706940108
36,1.75990159496153
38,3.41281884127518
40,2.10313081314004
42,1.32755343212398
44,0.522563742804345
46,1.03610166288918
48,1.38917654370438
50,4.09339083321287
52,4.78767732599328
54,5.62905366287057
56,4.84568273967287
58,29.092736815398
60,60.4267255854921
62,28.3819216233522
64,1.71561920288304
66,1.24256597293256
68,1.91051827858878
70,2.89177913431784
72,3.23641486882178
74,1.45967258093994
76,2.65374173484541
78,4.57197979396913
80,2.8334546537557
82,1.24882940773865
84,1.29071620647747
86,1.8539114714867
88,1.3696513819379
90,0.380393119077697
92,0.458220629806817
94,0.930684118967414
96,2.13653145886075
98,1.16425602171358
100,0.29810189343124
102,1.59588325881404
104,1.39128513293747
106,0.37282717328521
108,0.561699910050706
110,1.99794979458159
112,1.83007409075761
114,2.35642853449857
116,3.84556565200218
118,99.1434699868106
120,191.004163889697
122,93.8560429919565
124,0.89349564189661
126,0.951396911611146
128,1.79930943006149
130,1.05908847993574
132,3.58147131596412
134,3.67938154522138
136,2.40663039337441
138,2.80088441848454
140,3.95598658106802
142,2.04416224539429
144,1.17415444837877
146,0.708913756859515
148,2.42028541634481
150,1.26776750302649
152,1.73141546841786
154,3.19326026306135
156,2.84112197059388
158,0.567974434034628
160,2.35473084929137
162,1.41385463990899
164,1.34702521934556
166,2.9093195389833
168,2.06989040516514
170,0.327282535446101
172,2.914343570339
174,3.95763216932266
176,1.30008448936848
178,20.2306112361832
180,39.1320583288012
182,18.291366499588
184,2.28335412254896
186,2.98108857601043
188,3.23056980003212
190,2.03492889703267
192,2.48492179731682
194,4.14812550413891
196,2.47990692732605
198,0.725106789409141
200,1.84010018621599
202,2.98867310050366
204,2.56083640654612
206,1.87895735680396
208,2.21519768219176
210,2.33922920881392
212,1.16534268906314
214,1.29707884201862
216,2.8309583561088
218,3.08034045458509
220,2.8384079957814
222,1.83161996770178
224,1.19586303226127
226,2.66546481113584
228,1.83673066307896
230,2.44823653009841
232,1.44544629808727
234,2.02324876806027
236,2.37723056412597
238,59.2178988435692
240,114.98756651269
242,56.5368395016913
244,0.910476480449401
246,0.470007175224981
248,0.635387006881364
250,0.878728099328338
252,1.11659300142655
254,1.14096159049292
256,0.857336022384025
258,2.82763561112932
260,3.82971612891596
262,2.55342952239336
264,0.7042126084154
266,1.1208735955645
268,1.17625921518665
270,5.23422777141947
272,4.71993291127817
274,1.45726356797391
276,3.56171901010735
278,2.3370224901701
280,3.35790255055861
282,2.20970748579761
284,2.62939535978621
286,3.32639991624846
288,0.863198285367372
290,1.77726279636055
292,0.884858788005655
294,1.00139754660827
296,1.50736816276334
298,7.72690339047308
300,14.0511727067451
302,6.3128127727751
304,1.23196568853316
306,3.10387373177276
308,2.40597266574127
310,1.73236191806378
312,0.773288107158026
314,0.822969736984575
316,1.12104670202917
318,2.57514351164856
320,3.39994201795895
322,3.43049020816394
324,3.75749656876156
326,3.77166106191749
328,4.34291176999095
330,4.28104249239364
332,2.60502115540039
334,1.73947065149008
336,4.76793052395327
338,4.05274206204893
340,2.56500157501253
342,1.06301158584112
344,0.731244929136878
346,2.90682677624027
348,2.46301898153024
350,0.771553575429666
352,1.10671449352445
354,1.76043412023664
356,3.33210314165958
358,25.7675560606842
360,47.9706294563131
362,21.0799649716722
364,2.52531427942553
366,2.69124199798756
368,3.4689682325982
370,3.21229028728646
372,4.13365543873107
374,1.8483138623504
376,1.66407915394492
378,0.842736512758608
380,1.04657974913542
382,2.11205252176146
384,1.16232855220121
386,3.07074206850719
388,3.63096034716358
390,3.30279129525671
392,4.47706200613341
394,5.99604673839073
396,4.90892101255224
398,2.96386997766553
400,1.54231937496789
402,1.19847843738061
404,0.70341389257705
406,1.97119468530167
408,3.30887531199031
410,3.30058423916409
412,1.76509462030162
414,2.22962611322357
416,3.86969500715748
418,2.14686318744649
420,2.07084166055183
422,2.63065070053844
424,4.0021772815037
426,3.42585279288518
428,2.22734358768365
430,0.903729120829257
432,1.31613689250853
434,0.672898083031103
436,3.20829866481541
438,3.9282862816116
440,2.90612067685824
442,3.82282680002486
444,2.51123153818857
446,2.1484805267759
448,1.80234530921247
450,0.663972048095882
452,0.563233124655901
454,0.72778918588153
456,0.563309101100093
458,1.17757700632018
460,1.28137324004539
462,2.22968182200796
464,1.04087573705585
466,2.16730853629725
468,0.93087869097107
470,1.90072276705856
472,2.99041079909842
474,2.94616229136971
476,1.37766559834816
478,9.80842831634176
480,17.8406614295647
482,9.05651282495837
484,1.62964793543058
486,2.26800532052913
488,2.00263883645924
490,2.73817175024645
492,2.24010283988988
494,3.44938767993802
496,4.03117233477554
498,1.71079276136652
500,2.08570643556803
502,3.09360765062595
504,2.48161206504093
506,0.643078329466974
508,2.23349535956571
510,3.11859864995422
512,2.22051500001574
514,1.75981123473771
516,1.89966530407282
518,1.11625501425129
520,1.86209876705989
522,2.86372353132078
524,2.85562828119445
526,1.12972204824405
528,0.6944193897087
530,0.984359619166178
532,1.47569561398391
534,2.69353055490695
536,2.35258921522244
538,3.56304730905195
540,5.95421825983542
542,2.96772843636974
544,2.56639866496326
546,1.0081716996744
548,0.956487441646988
550,1.98067757252539
552,0.498754483465013
554,0.627172479577916
556,1.142402025906
558,1.53389429723252
560,1.76749736286115
562,3.22541320692571
564,3.97138575186361
566,3.51853932872149
568,2.19503676220479
570,1.48918371183896
572,3.70357355537098
574,2.2169738373575
576,1.4974838208467
578,1.90927802738844
580,0.862563173255919
582,1.77641678475778
584,2.25626536208317
586,4.24882300084263
588,2.4447548961567
590,0.633724377234498
592,0.923220035647268
594,0.971536076322452
596,1.17748865957397
598,8.84844000204468
600,13.9447316840481
602,4.96450395553727
604,1.1617226094998
606,0.721388687130909
608,0.779411094449291
610,0.226526970915656
612,3.77094742323205
614,2.84910506796377
616,1.6719361465293
618,1.36393747167092
620,1.55883026711113
622,2.64347326387826
624,2.81342068594942
626,2.84754118118966
628,2.39692843671234
630,1.6866199052048
632,1.31564336150573
634,1.58795812411327
636,2.86339860951657
638,3.71289203274482
640,4.2539269926419
642,5.01148073151444
644,2.72108892059847
646,0.983534006215336
648,1.11364798783302
650,3.1873904112465
652,1.64975142548472
654,2.83811352836776
656,3.08409103228615
658,4.15776256071586
660,5.34993747931685
662,1.85653806120421
664,2.34762653388469
666,0.764784270308356
668,1.23988707568208
670,2.46009479463164
672,3.41277872376243
674,1.97669782178197
676,2.19504547851125
678,2.31638162006865
680,2.44273657563886
682,3.02035222254121
684,1.84854492678613
686,1.68253153396272
688,2.12759244138607
690,0.950109781424224
692,2.36241903072056
694,2.44380562623131
696,0.95194384542561
698,0.943423027256981
700,1.85056651887719
702,1.15947832162419
704,1.60755687996067
706,1.2488452218938
708,0.731753092080586
710,2.11143300543785
712,2.96883741615207
714,0.766832562342034
716,1.71562836727385
718,4.24602366005407
720,7.71307582890324
722,5.16645843343814
724,0.979323009126374
726,3.75153825226674
728,3.26885912980986
730,1.96493797045909
732,1.57322119834986
734,2.41834289179626
736,1.58699291972123
738,0.358274846448479
740,2.16971673020541
742,2.88240277720014
744,2.6322003284184
746,2.4658230826909
748,1.55075707053717
750,1.38789043074946
752,2.2885644185688
754,1.41391101343844
756,2.40345008142999
758,4.59119527791091
760,4.7699720356722
762,2.68959070903412
764,2.63132939824328
766,3.39626327390838
768,2.69197721549209
770,2.45168968676573
772,0.441596846316966
774,2.01476124591242
776,2.02313835709328
778,2.17400282707377
780,5.19145241693859
782,3.00881556185156
784,0.781237621751554
786,1.89067167312411
788,2.05610294951768
790,1.1197086855848
792,1.03654909548748
794,2.24642860348722
796,2.21508583663342
798,1.10366800182157
800,0.400858415551276
802,0.431711792984901
804,1.39709305032853
806,3.71350389963997
808,4.44614596691695
810,2.91793401973852
812,1.16814414827015
814,2.05582554072516
816,0.97232820683208
818,3.08733172109389
820,0.507929194503639
822,2.06878833129277
824,2.18516775752996
826,3.13516982624258
828,3.23950698704567
830,1.52921184531094
832,2.81687803545864
834,2.63583706085199
836,2.49344482775064
838,3.07742635226815
840,1.95257370315048
842,1.97070326042211
844,1.87975559925931
846,0.330631652575792
848,0.803216538211932
850,0.273601147970636
852,2.22313502757275
854,2.6846395544691
856,2.03619694518613
858,0.138798009259845
860,2.92455297753613
862,4.40735402631176
864,3.43636731130718
866,3.06280384774351
868,3.01637858207518
870,2.25893225187331
872,1.16729302131464
874,2.26913482728667
876,3.66701180969543
878,3.23927960813869
880,0.993505300563403
882,1.59917124597637
884,2.26679390379432
886,1.64017320229649
888,2.84130280684082
890,3.5909378225179
892,2.69018610798807
894,0.935045309795552
896,0.883938783522901
898,1.51167249507072
900,3.48799894386947
902,2.64492083908737
904,2.25331224020797
906,5.38832570179535
908,5.17589329003222
910,1.67338659618608
912,1.12634283321335
914,0.56403334763195
916,0.734595544759354
918,1.57843272948576
920,2.42440162859465
922,0.413412282642575
924,1.70758059137665
926,2.15705185050244
928,1.32401719710635
930,2.13281053828406
932,1.46282163691542
934,1.92045183938565
936,1.11876626536201
938,0.850023436075928
940,1.9168636836856
942,2.51749940064937
944,1.02377279523595
946,0.691165668076553
948,1.30812857686771
950,1.94263007741107
952,1.2040551646889
954,0.644251042227815
956,1.07358955332343
958,4.55739995566182
960,4.23847207781957
962,0.778471585931473
964,1.53714067784585
966,2.30827888182906
968,2.88539717785531
970,3.23706994817351
972,1.66143645865035
974,0.365904124388053
976,1.98236679404403
978,2.17625601693974
980,1.66098242549536
982,3.17496087627089
984,2.96339097675696
986,1.07480535730599
988,1.03846869876288
990,2.2938636484704
992,1.5260994289076
994,0.508324963729402
996,2.21241080831523
998,2.17083397580984
1000,1.27527565898812
